,word1,word2,val
782,시작,개월,9042
783,인생,기대,9036
784,주문,블로그,9036
785,시작,만큼,9035
786,진심,점심,9027
787,시작,사실,9022
788,재미,시작,9021
789,포토,갓생,9014
790,여름,공부,9012
791,포기,오늘,9011
792,최근,시작,9007
793,버스,노래,9005
794,데이트,갓생,9005
795,이걸,시작,9003
796,후기,블로그,9003
797,포기,카페,9000
798,커피,약속,8994
799,드라마,갓생,8988
800,수업,선물,8983
801,치킨,점심,8973
802,커피,버스,8973
803,시작,교수,8972
804,담날,갓생,8971
805,시작,그것,8970
806,영화,노래,8969
807,선물,새벽,8969
808,인사,갓생,8962
809,전화,블로그,8947
810,볶음밥,갓생,8947
811,마무리,공부,8940
812,타임,시작,8931
813,점심,오후,8931
814,케이크,오늘,8923
815,카페,종일,8917
816,블로그,문제,8917
817,부탁,갓생,8913
818,학교,과제,8905
819,응원,갓생,8903
820,강아지,갓생,8901
821,대화,갓생,8898
822,학원,시작,8894
823,예정,블로그,8890
824,서울,도착,8888
825,추억,시작,8883
826,생활,공부,8880
827,테이블,갓생,8876
828,마라,갓생,8871
829,운동,여행,8860
830,운동,여름,8860
831,주말,느낌,8856
832,점심,발견,8854
833,중간,블로그,8853
834,주일,인생,8842
835,추가,블로그,8840
836,카페,식당,8840
837,원래,시작,8834
838,파스타,카페,8826
839,카페,오후,8822
840,요리,갓생,8822
841,맛집,노래,8817
842,운동,마무리,8814
843,학교,지금,8812
844,오늘,아이스크림,8812
845,필요,인생,8811
846,시작,라떼,8805
847,챌린지,오늘,8802
848,음료,시작,8793
849,학기,학교,8790
850,시작,상황,8779
851,느낌,기대,8773
852,행복,겨울,8771
853,커피,기대,8764
854,책,일상,8759
855,수업,새벽,8742
856,인생,눈물,8734
857,시작,감성,8733
858,후기,카페,8733
859,오전,오늘,8730
860,커피,여행,8726
861,퇴근,맛집,8723
862,초코,시작,8720
863,쇼핑,갓생,8719
864,수업,느낌,8716
865,진심,노래,8712
866,회사,커피,8712
867,편의점,시작,8711
868,시험,노래,8708
869,공부,걱정,8705
870,이것저것,갓생,8702
871,시작,거리,8701
872,점심,여름,8695
873,시작,경험,8693
874,카페,예전,8692
875,소식,갓생,8691
876,안주,갓생,8686
877,인증,갓생,8680
878,시작,다이어트,8680
879,운동,내일,8679
880,학기,시작,8669
881,행복,치킨,8667
882,최애,오늘,8667
883,주말,맛집,8659
884,일상,노래,8652
885,파티,시작,8650
886,눈물,노래,8646
887,학교,영화,8637
888,모닝,갓생,8636
